datetime,pm25_level,solar_radiation,boundary_layer_height,temp,humidity,precip,precipprob,precipcover,windspeed,pressure,conditions,year,month,day,day_of_week,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,moving_avg_7,moving_std_7
2019-02-22,74.31014492753623,178.17444,577.1588,18.7,78.5,0.0,0.0,0.0,24.5,1016.8,Partially cloudy,2019,2,22,4,0,73.35733695652173,93.28396739130436,110.41123188405795,112.9336956521739,127.08188405797102,144.29384057971015,108.42240338164252,109.96919427191166,22.734799375082705
2019-02-23,81.20253623188405,188.61865,399.4523,16.4,66.5,0.0,0.0,0.0,29.4,1015.3,Partially cloudy,2019,2,23,5,1,74.31014492753623,73.35733695652173,93.28396739130436,110.41123188405795,112.9336956521739,127.08188405797102,144.29384057971015,105.09601449275362,26.470633683757253
2019-02-24,93.28115942028984,188.85146,264.02353,17.1,65.4,0.0,0.0,0.0,16.6,1012.0,Partially cloudy,2019,2,24,6,1,81.20253623188405,74.31014492753623,73.35733695652173,93.28396739130436,110.41123188405795,112.9336956521739,127.08188405797102,96.08297101449276,21.09482855263423
2019-02-25,114.26195652173912,151.01756,238.98254,17.2,65.0,1.851,100.0,4.17,22.3,1011.1,"Rain, Partially cloudy",2019,2,25,0,0,93.28115942028984,81.20253623188405,74.31014492753623,73.35733695652173,93.28396739130436,110.41123188405795,112.9336956521739,91.25429606625258,16.091693385264236
2019-02-26,98.23998682476945,167.6082,353.29453,15.7,67.7,0.17,100.0,4.17,24.1,1011.3,"Rain, Partially cloudy",2019,2,26,1,0,114.26195652173912,93.28115942028984,81.20253623188405,74.31014492753623,73.35733695652173,93.28396739130436,110.41123188405795,91.44404761904762,16.394915927905505
2019-02-27,64.1286231884058,163.66734,474.9404,15.0,71.7,0.0,0.0,0.0,14.8,1011.5,Partially cloudy,2019,2,27,2,0,98.23998682476945,114.26195652173912,93.28115942028984,81.20253623188405,74.31014492753623,73.35733695652173,93.28396739130436,89.70529832486353,14.594676978767348
2019-02-28,58.05124223602485,202.29207,573.86255,15.0,69.4,0.0,0.0,0.0,23.5,1015.3,Partially cloudy,2019,2,28,3,0,64.1286231884058,98.23998682476945,114.26195652173912,93.28115942028984,81.20253623188405,74.31014492753623,73.35733695652173,85.5402491530209,17.310659400155224
2019-03-01,67.32753623188407,203.5633,280.2817,16.3,62.9,0.0,0.0,0.0,16.6,1015.8,Clear,2019,3,1,4,0,58.05124223602485,64.1286231884058,98.23998682476945,114.26195652173912,93.28115942028984,81.20253623188405,74.31014492753623,83.35366419294992,19.88176571799263
2019-03-02,68.46000000000001,77.763,280.22726,15.6,81.3,6.391,100.0,16.67,18.4,1015.9,"Rain, Partially cloudy",2019,3,2,5,1,67.32753623188407,58.05124223602485,64.1286231884058,98.23998682476945,114.26195652173912,93.28115942028984,81.20253623188405,82.35614866499961,20.574231150122053
2019-03-03,67.7314558629776,143.12262,386.09753,16.6,85.2,2.722,100.0,8.33,18.4,1012.6,"Rain, Partially cloudy",2019,3,3,6,1,68.46000000000001,67.32753623188407,58.05124223602485,64.1286231884058,98.23998682476945,114.26195652173912,93.28115942028984,80.53578634615903,21.24605852773193
