valid_time,solar_radiation,boundary_layer_height
2020-03-22,225.17715,388.2194
2020-03-23,218.1185,334.8063
2020-03-24,176.9274,293.94223
2020-03-25,210.0573,447.96146
2020-03-26,118.47006,435.272
2020-03-27,126.745,447.512
2020-03-28,232.50143,502.2237
2020-03-29,234.72404,627.013
2020-03-30,238.37184,532.9236
2020-03-31,208.0255,342.86212
2020-04-01,220.7871,385.61914
2020-04-02,238.77893,728.2174
2020-04-03,246.70406,602.1353
2020-04-04,243.67331,480.23865
2020-04-05,233.4318,323.11343
2020-04-06,230.57281,467.32928
2020-04-07,226.23892,436.3697
2020-04-08,242.34259,576.27875
2020-04-09,245.84406,628.5261
2020-04-10,221.76779,310.42935
2020-04-11,242.81879,503.824
2020-04-12,242.51091,625.63116
2020-04-13,232.2849,733.87695
2020-04-14,202.262,372.0991
2020-04-15,215.7327,286.05405
2020-04-16,236.33453,688.3338
2020-04-17,161.44722,608.5498
2020-04-18,224.11014,504.62158
2020-04-19,221.83238,1130.4762
2020-04-20,235.82071,647.8023
2020-04-21,232.26047,1112.0017
2020-04-22,246.94446,1178.2832
2020-04-23,187.40112,631.73474
2020-04-24,243.26187,759.3146
2020-04-25,189.86899,615.74756
2020-04-26,215.48808,678.68695
2020-04-27,193.86708,678.62463
2020-04-28,207.6501,481.1317
2020-04-29,232.6579,760.6407
2020-04-30,230.99629,470.74557
2020-05-01,236.06932,608.57544
2020-05-02,230.57382,683.89124
2020-05-03,188.0593,725.4198
2020-05-04,222.17842,791.64703
2020-05-05,234.63283,1154.999
2020-05-06,247.00146,765.0647
2020-05-07,250.343,593.4331
2020-05-08,250.50633,696.18207
2020-05-09,244.59363,497.5469
2020-05-10,237.80536,533.9206
2020-05-11,227.77406,612.6635
2020-05-12,247.45386,828.6618
2020-05-13,197.01164,618.59155
2020-05-14,237.54616,614.04034
2020-05-15,243.51566,884.38495
2020-05-16,258.74982,917.2443
2020-05-17,249.4211,698.1381
2020-05-18,263.39288,1081.3724
2020-05-19,256.11676,1234.364
2020-05-20,264.76953,1086.637
2020-05-21,265.84348,872.2057
2020-05-22,260.57162,597.57794
2020-05-23,248.30515,730.7816
2020-05-24,259.24136,1193.3362
2020-05-25,260.72733,1283.4794
2020-05-26,257.8332,898.01447
2020-05-27,258.23032,965.9669
2020-05-28,221.21776,808.9506
2020-05-29,221.6125,767.9226
2020-05-30,153.87694,599.59106
2020-05-31,212.42485,587.29913
2020-06-01,245.8668,630.64484
2020-06-02,230.89946,530.407
2020-06-03,216.6554,530.9641
2020-06-04,191.65474,462.6173
2020-06-05,216.93257,526.45306
2020-06-06,242.93219,712.1485
2020-06-07,227.88937,631.79803
2020-06-08,224.99278,858.41296
2020-06-09,203.45932,839.0122
2020-06-10,233.82802,695.9089
2020-06-11,227.77528,805.51263
2020-06-12,233.93849,970.0714
2020-06-13,211.51436,663.46594
2020-06-14,186.41428,840.19855
2020-06-15,236.23677,1099.2488
2020-06-16,226.52979,827.4137
2020-06-17,245.38547,993.1908
2020-06-18,235.93205,947.7803
2020-06-19,235.21187,1027.7517
2020-06-20,225.00746,792.8918
2020-06-21,231.70068,628.80884
2020-06-22,217.8618,707.4732
2020-06-23,193.65991,783.71405
2020-06-24,149.15541,546.4167
2020-06-25,203.70343,678.04663
2020-06-26,193.16037,788.69574
2020-06-27,214.29182,928.1624
2020-06-28,209.80403,1092.2902
2020-06-29,217.55292,842.83057
2020-06-30,190.19115,724.97125
2020-07-01,230.0073,789.7057
2020-07-02,223.83467,984.7624
2020-07-03,217.8729,778.19354
2020-07-04,181.8211,807.8585
2020-07-05,173.75194,687.5667
2020-07-06,214.83344,773.411
2020-07-07,169.9017,768.3606
2020-07-08,98.35684,459.50995
2020-07-09,144.07318,535.2906
2020-07-10,212.06775,859.3375
2020-07-11,214.92978,590.33765
2020-07-12,177.255,429.701
2020-07-13,210.84048,698.37366
2020-07-14,201.22319,563.7056
2020-07-15,171.7577,704.09454
2020-07-16,184.20137,684.6865
2020-07-17,190.60588,683.0213
2020-07-18,191.29955,482.7763
2020-07-19,122.31054,479.9763
2020-07-20,178.91698,532.45386
2020-07-21,145.81358,411.63895
2020-07-22,114.99691,386.24835
2020-07-23,217.50635,571.16907
2020-07-24,195.76549,533.24615
2020-07-25,163.4801,439.9963
2020-07-26,177.5982,482.12997
2020-07-27,188.36163,660.3489
2020-07-28,198.66776,643.41437
2020-07-29,177.29755,555.0476
2020-07-30,137.39166,555.0949
2020-07-31,199.26326,403.6899
2020-08-01,110.84599,374.93005
2020-08-02,177.67305,546.826
2020-08-03,210.69266,544.21075
2020-08-04,186.12952,547.3429
2020-08-05,173.73528,502.7066
2020-08-06,181.7351,1175.2388
2020-08-07,182.57465,665.9007
2020-08-08,187.64357,608.24884
2020-08-09,126.09491,429.36737
2020-08-10,82.157104,421.79227
2020-08-11,105.5746,378.0533
2020-08-12,105.021675,486.17892
2020-08-13,84.47055,257.94382
2020-08-14,104.94832,371.12357
2020-08-15,157.78998,520.9833
2020-08-16,137.20837,430.2359
2020-08-17,179.40735,379.30045
2020-08-18,121.33159,361.24673
2020-08-19,46.284485,199.40453
2020-08-20,102.751686,335.3921
2020-08-21,157.86035,672.93274
2020-08-22,162.15213,828.474
2020-08-23,160.63322,740.99524
2020-08-24,127.30252,600.8067
2020-08-25,144.76778,504.5645
2020-08-26,146.05882,379.16678
2020-08-27,84.50082,383.19208
2020-08-28,168.284,351.86285
2020-08-29,154.80438,490.20117
2020-08-30,158.39288,806.37354
2020-08-31,159.02882,680.7863
2020-09-01,133.4965,555.14606
2020-09-02,168.3661,452.5012
2020-09-03,107.08508,568.4348
2020-09-04,171.84473,436.3866
2020-09-05,95.5996,380.2125
2020-09-06,137.86598,322.94986
2020-09-07,174.21526,402.005
2020-09-08,156.78278,496.79855
2020-09-09,157.87706,491.9573
2020-09-10,192.35707,518.39136
2020-09-11,178.88339,382.00037
2020-09-12,199.69469,418.85532
2020-09-13,177.66536,443.08627
2020-09-14,191.85149,456.71936
2020-09-15,193.26508,526.94635
2020-09-16,187.5059,535.42804
2020-09-17,192.60497,712.02216
2020-09-18,179.2301,594.5067
2020-09-19,192.02907,560.42694
2020-09-20,197.71146,599.54114
2020-09-21,193.16434,561.32263
2020-09-22,147.20428,450.67813
2020-09-23,161.99782,543.9551
2020-09-24,188.17628,506.8862
2020-09-25,195.2026,536.9127
2020-09-26,171.82396,498.3553
2020-09-27,190.72388,414.97397
2020-09-28,193.29785,495.06454
2020-09-29,192.4626,626.3344
2020-09-30,194.12285,591.86206
2020-10-01,192.5653,446.95953
2020-10-02,193.40225,334.15964
2020-10-03,192.43166,475.21136
2020-10-04,193.084,408.83276
2020-10-05,192.74384,400.7541
2020-10-06,191.02504,366.3617
2020-10-07,188.89983,438.30206
2020-10-08,188.15932,443.9427
2020-10-09,185.14915,439.60648
2020-10-10,181.2781,482.62292
2020-10-11,182.25969,456.30994
2020-10-12,179.86844,438.7825
2020-10-13,174.23056,557.50793
2020-10-14,160.93005,543.6248
2020-10-15,171.8965,537.8268
2020-10-16,178.67575,350.98706
2020-10-17,173.52107,298.81866
2020-10-18,174.549,355.31732
2020-10-19,168.4301,341.52902
2020-10-20,177.45688,359.846
2020-10-21,153.8025,227.98131
2020-10-22,147.7249,218.61397
2020-10-23,167.89957,248.86096
2020-10-24,170.24806,422.1793
2020-10-25,168.37253,226.15616
2020-10-26,135.95334,181.94006
2020-10-27,167.13005,324.83466
2020-10-28,166.50137,340.3082
2020-10-29,163.87018,345.5692
2020-10-30,162.99382,408.62155
2020-10-31,162.94556,293.55573
2020-11-01,163.00664,328.60184
2020-11-02,162.30142,368.8562
2020-11-03,161.25072,239.86357
2020-11-04,155.36337,277.67676
2020-11-05,156.62665,212.72417
2020-11-06,155.81322,210.13916
2020-11-07,155.20639,252.603
2020-11-08,154.52025,217.19124
2020-11-09,152.40117,231.67603
2020-11-10,149.14046,239.31575
2020-11-11,144.97057,425.02362
2020-11-12,138.64615,392.41336
2020-11-13,145.52238,359.1773
2020-11-14,145.49611,320.90604
2020-11-15,134.94005,305.11496
2020-11-16,63.061832,289.50027
2020-11-17,134.48811,314.90884
2020-11-18,143.66109,297.87064
2020-11-19,138.24776,279.0656
2020-11-20,143.94493,256.65387
2020-11-21,144.76344,362.13095
2020-11-22,142.39499,218.34589
2020-11-23,140.19914,202.11569
2020-11-24,127.00644,215.6074
2020-11-25,107.5613,232.18729
2020-11-26,111.87283,264.32205
2020-11-27,138.20763,209.66718
2020-11-28,138.77744,186.45268
2020-11-29,138.65263,164.93298
2020-11-30,135.54967,178.50262
2020-12-01,133.86969,170.94472
2020-12-02,134.78955,211.19211
2020-12-03,133.02522,145.63754
2020-12-04,131.73433,171.43188
2020-12-05,130.50018,174.83713
2020-12-06,129.22227,153.81287
2020-12-07,129.7747,187.01718
2020-12-08,129.193,137.02777
2020-12-09,128.16809,145.67174
2020-12-10,124.50259,125.456085
2020-12-11,126.54018,171.3988
2020-12-12,90.06479,215.48245
2020-12-13,133.39511,303.9123
2020-12-14,134.62723,221.30835
2020-12-15,135.20622,177.74133
2020-12-16,134.46043,267.83875
2020-12-17,135.75214,302.31107
2020-12-18,134.59102,253.31552
2020-12-19,134.2596,214.19913
2020-12-20,130.55411,199.65872
2020-12-21,113.71881,165.36597
2020-12-22,131.81876,129.95673
2020-12-23,133.76112,136.72783
2020-12-24,134.47427,138.07104
2020-12-25,134.80142,194.66168
2020-12-26,134.05728,178.36053
2020-12-27,131.91196,235.03131
2020-12-28,136.13663,290.45862
2020-12-29,137.43373,258.64746
2020-12-30,136.84166,214.72293
2020-12-31,135.43217,145.96439
2021-01-01,133.48018,134.84071
2021-01-02,88.86375,178.36456
2021-01-03,105.11456,362.325
2021-01-04,102.881134,186.82953
2021-01-05,88.99269,240.56296
2021-01-06,99.54758,245.16306
2021-01-07,117.52778,326.126
2021-01-08,126.94361,99.41908
2021-01-09,122.69802,316.03436
2021-01-10,146.0609,289.30984
2021-01-11,147.00768,355.51404
2021-01-12,146.7577,278.1591
2021-01-13,148.85208,197.47772
2021-01-14,146.05254,123.318474
2021-01-15,146.11404,136.27177
2021-01-16,124.68311,123.01368
2021-01-17,119.16379,250.44223
2021-01-18,96.10632,202.56795
2021-01-19,142.18602,240.15007
2021-01-20,150.84875,355.2663
2021-01-21,156.29553,277.99347
2021-01-22,155.53026,150.20493
2021-01-23,148.8557,213.07736
2021-01-24,147.2411,259.68008
2021-01-25,150.67949,256.2104
2021-01-26,158.9372,227.31308
2021-01-27,162.55452,219.51338
2021-01-28,164.19888,216.25491
2021-01-29,164.2259,295.2883
2021-01-30,166.95102,233.77193
2021-01-31,166.746,144.85005
2021-02-01,166.03877,139.11836
2021-02-02,166.5631,120.11766
2021-02-03,164.35193,204.52635
2021-02-04,143.48712,267.89563
2021-02-05,143.8701,238.34497
2021-02-06,170.95059,363.64462
2021-02-07,172.91006,348.18054
2021-02-08,173.5593,232.35634
2021-02-09,172.95529,179.22813
2021-02-10,175.54848,157.10504
2021-02-11,177.70229,239.27737
2021-02-12,149.28365,175.89539
2021-02-13,175.64291,143.05498
2021-02-14,180.71185,163.0599
2021-02-15,166.16486,172.7579
2021-02-16,178.50446,206.34602
2021-02-17,183.05655,171.40556
2021-02-18,183.93552,294.45978
2021-02-19,187.0195,321.44534
2021-02-20,189.0247,346.22324
2021-02-21,191.20932,366.01337
2021-02-22,188.34537,369.76154
2021-02-23,191.45341,178.93498
2021-02-24,196.09297,163.34105
2021-02-25,196.74026,233.42708
2021-02-26,196.37007,310.88776
2021-02-27,198.47339,443.04343
2021-02-28,201.76309,330.5681
2021-03-01,207.88795,552.68567
2021-03-02,210.52164,605.88873
2021-03-03,208.45499,328.4426
2021-03-04,208.13145,183.06316
2021-03-05,212.48247,590.0127
2021-03-06,213.51497,347.81802
2021-03-07,208.60431,340.08255
2021-03-08,204.81793,440.69937
2021-03-09,195.46901,254.71382
2021-03-10,193.78656,448.62674
2021-03-11,206.47774,247.05704
2021-03-12,173.26222,438.8735
2021-03-13,213.41313,451.21362
2021-03-14,221.21762,539.49524
2021-03-15,208.43459,448.26666
2021-03-16,222.79509,425.03415
2021-03-17,203.27184,341.7878
2021-03-18,197.11609,247.96802
2021-03-19,184.6318,347.0882
